,Train_RMSE,Train_MAE,Train_R2,Test_RMSE,Test_MAE,Test_R2
Linear,50.99260082400409,23.739867748955522,0.011151695483585855,50.48170512970509,23.70199811561958,0.010724642592655709
Tree,0.014379658195404413,2.1449644171852833e-05,0.999999921365619,74.38035134460011,32.42509364902593,-1.1476604056201518
GBR,50.479815229628905,23.230323222938356,0.030939570737127386,49.96778006071124,23.2050675929217,0.03076459462909209
Random Forest,45.151063528233315,21.69690676684393,0.22473296864985626,49.87326388867062,22.86010653198146,0.03442782639994302
XGBoost,49.5395718732249,22.68371625362742,0.0667030538241754,49.495971004456656,22.771992375346414,0.04898173757272806
