,Train_Accuracy,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC
Logistic,0.5930311023863567,0.5930853300066408,0.24131395840541267,0.6121209166260361,0.3461619058122863,0.6358970665220165
Tree,1.0,0.74870315618238,0.2819980531993087,0.2768503169185763,0.2794004763123192,0.563159285749167
GB,0.6299103019549618,0.6293266021576598,0.2704440434089456,0.6517503656752803,0.38226647754569787,0.6926279850688217
Random Forest,0.6927486966134901,0.6653224906951564,0.29054204015816865,0.6254997562164798,0.39678096787462847,0.7079401902175172
XGBoost,0.6717259183979017,0.668134964419376,0.29793234755066816,0.6530862993661628,0.4091939415786354,0.721962599294619
