,Train_Accuracy,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC
Logistic,0.5834541666666667,0.5823916666666666,0.03918019592061093,0.6304649987364165,0.07377561242482154,0.6294608457573599
Tree,0.9999991666666667,0.963505,0.3014200641319285,0.29100328531715947,0.2961200938635122,0.6363647788581922
GB,0.7895141666666666,0.7885933333333334,0.07438390406232269,0.6129011877685115,0.13266687635901153,0.77505339189362
Random Forest,0.913225,0.9053816666666666,0.1647369024418205,0.6355193328279,0.26164991091053336,0.868493647571621
XGBoost,0.8442308333333334,0.8417466666666666,0.11196225748867136,0.7211902956785443,0.19383267392301032,0.8681935819586863
