,Train_RMSE,Train_MAE,Train_R2,Test_RMSE,Test_MAE,Test_R2
Linear,48.827354989123094,20.713213630708186,0.011402713056715807,48.54167625736856,20.704366711082418,0.011208700497355006
Tree,0.0024940712645852713,3.0029476075730907e-06,0.9999999974206473,71.99004130295626,26.981860488261912,-1.1748030976025134
GBR,48.39003076702082,20.15006027588466,0.02903223302822633,48.119144123908946,20.15249601714689,0.028347694102253795
Random Forest,42.91209035353417,18.74743853388285,0.23642384513760062,48.41976716607809,19.9109093666501,0.016169026995422886
XGBoost,47.508224289261776,19.58112651798429,0.06409748840973406,47.77542495731258,19.67422665189131,0.042179308067667676
