,Train_Accuracy,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC
Logistic,0.5779246268083659,0.5780311311155002,0.23214178454515422,0.5991667070393877,0.33463300331997586,0.6150314766656954
Tree,1.0,0.7458014520532431,0.2795765389219207,0.2761009641005765,0.27782788223880817,0.5614932082386793
GB,0.6200268463746454,0.6190222063590392,0.2611663678247795,0.629446247759314,0.369162051809526,0.6723598171185792
Random Forest,0.6915472529226213,0.6592702668847091,0.2836359346000082,0.6056295722106487,0.3863375075717306,0.6953679702596081
XGBoost,0.6601544116984643,0.6556169681910766,0.2875208146255983,0.6391066324305993,0.3966134613707905,0.706231377103775
